primary_title,runtime_minutes,genres,average_rating,num_votes,directors,writers,studio,year,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
The Secret Life of Walter Mitty,114.0,"['Adventure', 'Comedy', 'Drama']",7.3,275300.0,nm0001774,"nm0175726,nm0862122",Fox,2013,2013-12-25,91000000.0,58236838.0,187861183.0,129624345.0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Walk Among the Tombstones,114.0,"['Action', 'Crime', 'Drama']",6.5,105116.0,nm0291082,"nm0088747,nm0291082",Uni.,2014,2014-09-19,28000000.0,26017685.0,62108587.0,36090902.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Jurassic World,124.0,"['Action', 'Adventure', 'Sci-Fi']",7.0,539338.0,nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341",Uni.,2015,2015-06-12,215000000.0,652270625.0,1648854864.0,996584239.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Rum Diary,119.0,"['Comedy', 'Drama']",6.2,94787.0,nm0732430,"nm0732430,nm0860219",FD,2011,2011-10-28,45000000.0,13109815.0,21544732.0,8434917.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Three Stooges,92.0,"['Comedy', 'Family']",5.1,28570.0,"nm0268380,nm0268370","nm0148808,nm0268370,nm0268380",Fox,2012,2012-04-13,30000000.0,44338224.0,54052249.0,9714025.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Tangled,100.0,"['Adventure', 'Animation', 'Comedy']",7.8,366366.0,"nm1977355,nm0397174","nm1557594,nm0342278,nm0342303",BV,2010,2010-11-24,260000000.0,200821936.0,586477240.0,385655304.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
John Carter,132.0,"['Action', 'Adventure', 'Sci-Fi']",6.6,241792.0,nm0004056,"nm0004056,nm0028764,nm0149290,nm0123194",BV,2012,2012-03-09,275000000.0,73058679.0,282778100.0,209719421.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Dinner for Schmucks,114.0,['Comedy'],5.9,91546.0,nm0005366,"nm1115862,nm1911349,nm0891554",P/DW,2010,2010-07-30,69000000.0,73026337.0,86796502.0,13770165.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The A-Team,117.0,"['Action', 'Adventure', 'Thriller']",6.8,235256.0,nm0138620,"nm0138620,nm0089141,nm0940790,nm0526967,nm0004798",Fox,2010,2010-06-11,110000000.0,77222099.0,177241171.0,100019072.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Possession,92.0,"['Horror', 'Mystery', 'Thriller']",5.9,53649.0,nm0097079,"nm0925482,nm1757236,nm1340000",LGF,2012,2012-08-31,14000000.0,49130588.0,82925064.0,33794476.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
