title,studio,year,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross,tconst,numvotes
toy story 3,BV,2010,2010-06-18,200000000.0,415004880.0,1068879522.0,653874642.0,tt0435761,682218.0
alice in wonderland,BV,2010,2010-03-05,200000000.0,334191110.0,1025491110.0,691300000.0,tt1014759,358813.0
inception,WB,2010,2010-07-16,160000000.0,292576195.0,835524642.0,542948447.0,tt1375666,1841066.0
shrek forever after,P/DW,2010,2010-05-21,165000000.0,238736787.0,756244673.0,517507886.0,tt0892791,167532.0
the twilight saga eclipse,Sum.,2010,2010-06-30,68000000.0,300531751.0,706102828.0,405571077.0,tt1325004,211733.0
iron man 2,Par.,2010,2010-05-07,170000000.0,312433331.0,621156389.0,308723058.0,tt1228705,657690.0
tangled,BV,2010,2010-11-24,260000000.0,200821936.0,586477240.0,385655304.0,tt0398286,366366.0
despicable me,Uni.,2010,2010-07-09,69000000.0,251513985.0,543464573.0,291950588.0,tt1323594,464511.0
how to train your dragon,P/DW,2010,2010-03-26,165000000.0,217581232.0,494870992.0,277289760.0,tt0892769,611299.0
clash of the titans,WB,2010,2010-04-01,125000000.0,163214888.0,493214888.0,330000000.0,tt0800320,256176.0
the chronicles of narnia the voyage of the dawn treader,Fox,2010,2010-12-10,155000000.0,104386950.0,418186950.0,313800000.0,tt0980970,129663.0
the kings speech,Wein.,2010,2010-11-26,15000000.0,138797449.0,430821168.0,292023719.0,tt1504320,593629.0
tron legacy,BV,2010,2010-12-17,200000000.0,172062763.0,400062763.0,228000000.0,tt1104001,296211.0
the karate kid,Sony,2010,2010-06-11,40000000.0,176591618.0,351774938.0,175183320.0,tt1155076,146401.0
black swan,FoxS,2010,2010-12-03,13000000.0,106954678.0,331266710.0,224312032.0,tt0947798,648854.0
megamind,P/DW,2010,2010-11-05,130000000.0,148415853.0,321887208.0,173471355.0,tt1001526,207488.0
robin hood,Uni.,2010,2010-05-14,210000000.0,105487148.0,322459006.0,216971858.0,tt0955308,239480.0
robin hood,LG/S,2018,2018-11-21,99000000.0,30824628.0,84747441.0,53922813.0,tt4532826,41588.0
the last airbender,Par.,2010,2010-07-01,150000000.0,131772187.0,319713881.0,187941694.0,tt0938283,137734.0
little fockers,Uni.,2010,2010-12-22,100000000.0,148438600.0,310650574.0,162211974.0,tt0970866,99222.0
resident evil afterlife,SGem,2010,2010-09-10,57500000.0,60128566.0,295874190.0,235745624.0,tt1220634,153270.0
shutter island,Par.,2010,2010-02-19,80000000.0,128012934.0,299461782.0,171448848.0,tt1130884,1005960.0
salt,Sony,2010,2010-07-23,130000000.0,118311368.0,290650494.0,172339126.0,tt0944835,277204.0
sex and the city 2,WB (NL),2010,2010-05-27,95000000.0,95347692.0,294680778.0,199333086.0,tt1261945,69199.0
the tourist,Sony,2010,2010-12-10,100000000.0,67631157.0,278731369.0,211100212.0,tt1243957,206714.0
the expendables,LGF,2010,2010-08-13,82000000.0,103068524.0,268268174.0,165199650.0,tt1320253,307897.0
grown ups,Sony,2010,2010-06-25,75000000.0,162001186.0,272223430.0,110222244.0,tt1375670,210377.0
true grit,Par.,2010,2010-12-22,35000000.0,171243005.0,252276928.0,81033923.0,tt1403865,284034.0
gullivers travels,Fox,2010,2010-12-25,112000000.0,42779261.0,232017848.0,189238587.0,tt1320261,61178.0
percy jackson  the olympians the lightning thief,Fox,2010,2010-02-12,95000000.0,88768303.0,223050874.0,134282571.0,tt0814255,165108.0
the social network,Sony,2010,2010-10-01,40000000.0,96962694.0,224922135.0,127959441.0,tt1285016,568578.0
valentines day,WB (NL),2010,2010-02-12,52000000.0,110485654.0,217569328.0,107083674.0,tt0817230,107171.0
the sorcerers apprentice,BV,2010,2010-07-14,160000000.0,63150991.0,217986320.0,154835329.0,tt0963966,143862.0
due date,WB,2010,2010-11-05,65000000.0,100539043.0,211739043.0,111200000.0,tt1231583,303523.0
eat pray love,Sony,2010,2010-08-13,60000000.0,80574010.0,206598789.0,126024779.0,tt0879870,77709.0
yogi bear,WB,2010,2010-12-17,80000000.0,100246011.0,204774690.0,104528679.0,tt1302067,18934.0
red,Sum.,2010,2010-10-15,60000000.0,90380162.0,196439693.0,106059531.0,tt1245526,271570.0
paranormal activity 2,Par.,2010,2010-10-20,3000000.0,84752907.0,177512032.0,92759125.0,tt1536044,93122.0
the ateam,Fox,2010,2010-06-11,110000000.0,77222099.0,177241171.0,100019072.0,tt0429493,235256.0
jackass 3d,Par.,2010,2010-10-15,20000000.0,117229692.0,171685793.0,54456101.0,tt1116184,53289.0
the other guys,Sony,2010,2010-08-06,100000000.0,119219978.0,170936470.0,51716492.0,tt1386588,221664.0
unstoppable,Fox,2010,2010-11-12,95000000.0,81562942.0,165720921.0,84157979.0,tt0477080,173019.0
step up 3d,BV,2010,2010-08-06,30000000.0,42400223.0,165889117.0,123488894.0,tt1193631,53081.0
the book of eli,WB,2010,2010-01-15,80000000.0,94835059.0,158750817.0,63915758.0,tt1037705,271307.0
the town,WB,2010,2010-09-17,37000000.0,92186262.0,152566881.0,60380619.0,tt0840361,322524.0
date night,Fox,2010,2010-04-09,55000000.0,98711404.0,152269033.0,53557629.0,tt1279935,144683.0
legend of the guardians the owls of gahoole,WB,2010,2010-09-24,100000000.0,55675313.0,139716717.0,84041404.0,tt1219342,73790.0
the wolfman,Uni.,2010,2010-02-12,150000000.0,62189884.0,142634358.0,80444474.0,tt0780653,97873.0
the bounty hunter,Sony,2010,2010-03-19,45000000.0,67061228.0,135808837.0,68747609.0,tt1038919,112444.0
saw 3d,LGF,2010,2010-10-29,17000000.0,45710178.0,133735284.0,88025106.0,tt1477076,83532.0
the fighter,Par.,2010,2010-12-10,11000000.0,93617009.0,129262388.0,35645379.0,tt0964517,316539.0
predators,Fox,2010,2010-07-09,40000000.0,52000688.0,127234389.0,75233701.0,tt1424381,199764.0
a nightmare on elm street,WB (NL),2010,2010-04-30,35000000.0,63075011.0,117729621.0,54654610.0,tt1179056,85497.0
dear john,SGem,2010,2010-02-05,25000000.0,80014842.0,142033509.0,62018667.0,tt0989757,128657.0
cats  dogs the revenge of kitty galore,WB,2010,2010-07-30,85000000.0,43585753.0,113026383.0,69440630.0,tt1287468,12642.0
tooth fairy,Fox,2010,2010-01-22,48000000.0,60022256.0,112610386.0,52588130.0,tt0808510,37939.0
life as we know it,WB,2010,2010-10-08,38000000.0,53374681.0,105887837.0,52513156.0,tt1055292,113077.0
